"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2016"	"All Sites"	"AllRaceEth"	453.900	0.353	453.207	454.593	1725893	323071755
"Male and female"	"1yr_2016"	"All Sites"	"Non-Hispanic White"	471.277	0.428	470.438	472.117	1309911	201247910
"Male and female"	"1yr_2016"	"All Sites"	"Non-Hispanic Black"	461.997	1.107	459.831	464.171	186558	42173375
"Male and female"	"1yr_2016"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	407.589	4.199	399.401	415.900	10306	2706025
"Male and female"	"1yr_2016"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	295.909	1.270	293.425	298.408	56533	19665443
"Male and female"	"1yr_2016"	"All Sites"	"Hispanic (All Races)"	357.846	0.997	355.895	359.804	142366	57279002
"Male and female"	"1yr_2016"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	20219	0
"Male and female"	"1yr_2016"	"Oral Cavity and Pharynx"	"AllRaceEth"	12.068	0.057	11.957	12.180	46919	323071755
"Male and female"	"1yr_2016"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	13.384	0.072	13.244	13.525	37819	201247910
"Male and female"	"1yr_2016"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	9.176	0.152	8.880	9.479	3862	42173375
"Male and female"	"1yr_2016"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	10.933	0.669	9.661	12.327	290	2706025
"Male and female"	"1yr_2016"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.367	0.209	7.962	8.788	1654	19665443
"Male and female"	"1yr_2016"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.181	0.140	6.909	7.460	2888	57279002
"Male and female"	"1yr_2016"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	406	0
"Male and female"	"1yr_2016"	"Esophagus"	"AllRaceEth"	4.540	0.035	4.472	4.608	17886	323071755
"Male and female"	"1yr_2016"	"Esophagus"	"Non-Hispanic White"	4.999	0.042	4.916	5.082	14676	201247910
"Male and female"	"1yr_2016"	"Esophagus"	"Non-Hispanic Black"	3.851	0.101	3.656	4.053	1578	42173375
