"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2021"	"All Sites"	"AllRaceEth"	439.066	0.338	438.403	439.729	1777566	325218022
"Male and female"	"1yr_2021"	"All Sites"	"Non-Hispanic White"	454.670	0.419	453.850	455.491	1302423	195319943
"Male and female"	"1yr_2021"	"All Sites"	"Non-Hispanic Black"	445.688	1.033	443.666	447.717	198492	43402838
"Male and female"	"1yr_2021"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	405.818	3.894	398.221	413.524	11577	2726587
"Male and female"	"1yr_2021"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	297.119	1.151	294.869	299.383	68461	21677626
"Male and female"	"1yr_2021"	"All Sites"	"Hispanic (All Races)"	348.829	0.887	347.093	350.572	167575	62091028
"Male and female"	"1yr_2021"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	29038	0
"Male and female"	"1yr_2021"	"Oral Cavity and Pharynx"	"AllRaceEth"	11.925	0.055	11.817	12.034	49242	325218022
"Male and female"	"1yr_2021"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	13.300	0.071	13.161	13.440	38712	195319943
"Male and female"	"1yr_2021"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	8.339	0.139	8.069	8.615	3840	43402838
"Male and female"	"1yr_2021"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	11.890	0.659	10.633	13.257	347	2726587
"Male and female"	"1yr_2021"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.743	0.196	8.364	9.136	2042	21677626
"Male and female"	"1yr_2021"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.293	0.128	7.046	7.547	3531	62091028
"Male and female"	"1yr_2021"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	770	0
"Male and female"	"1yr_2021"	"Esophagus"	"AllRaceEth"	4.406	0.033	4.342	4.471	18636	325218022
"Male and female"	"1yr_2021"	"Esophagus"	"Non-Hispanic White"	4.990	0.042	4.909	5.073	15221	195319943
"Male and female"	"1yr_2021"	"Esophagus"	"Non-Hispanic Black"	3.018	0.084	2.856	3.187	1383	43402838
"Male and female"	"1yr_2021"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.623	0.407	3.860	5.497	137	2726587
"Male and female"	"1yr_2021"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.203	0.098	2.014	2.405	516	21677626
"Male and female"	"1yr_2021"	"Esophagus"	"Hispanic (All Races)"	2.708	0.079	2.554	2.867	1256	62091028
"Male and female"	"1yr_2021"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	123	0
"Male and female"	"1yr_2021"	"Stomach"	"AllRaceEth"	6.684	0.042	6.603	6.767	26985	325218022
