"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2022"	"All Sites"	"AllRaceEth"	442.253	0.334	441.599	442.907	1851238	333271411
"Male and female"	"1yr_2022"	"All Sites"	"Non-Hispanic White"	458.604	0.414	457.793	459.416	1355428	199755669
"Male and female"	"1yr_2022"	"All Sites"	"Non-Hispanic Black"	445.359	1.017	443.368	447.356	204615	44379530
"Male and female"	"1yr_2022"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	398.266	3.786	390.879	405.759	11740	2757920
"Male and female"	"1yr_2022"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	300.733	1.133	298.516	302.963	72114	22326886
"Male and female"	"1yr_2022"	"All Sites"	"Hispanic (All Races)"	352.599	0.872	350.892	354.312	177254	64051406
"Male and female"	"1yr_2022"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	30087	0
"Male and female"	"1yr_2022"	"Oral Cavity and Pharynx"	"AllRaceEth"	11.984	0.054	11.878	12.091	51127	333271411
"Male and female"	"1yr_2022"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	13.554	0.071	13.416	13.693	40617	199755669
"Male and female"	"1yr_2022"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	8.127	0.136	7.864	8.398	3815	44379530
"Male and female"	"1yr_2022"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	11.234	0.628	10.037	12.539	340	2757920
"Male and female"	"1yr_2022"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.189	0.185	7.830	8.560	1999	22326886
"Male and female"	"1yr_2022"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.281	0.125	7.039	7.529	3695	64051406
"Male and female"	"1yr_2022"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	661	0
"Male and female"	"1yr_2022"	"Esophagus"	"AllRaceEth"	4.553	0.033	4.489	4.618	19931	333271411
"Male and female"	"1yr_2022"	"Esophagus"	"Non-Hispanic White"	5.172	0.042	5.090	5.255	16258	199755669
"Male and female"	"1yr_2022"	"Esophagus"	"Non-Hispanic Black"	3.355	0.088	3.185	3.532	1559	44379530
"Male and female"	"1yr_2022"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.071	0.377	3.366	4.885	123	2757920
"Male and female"	"1yr_2022"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.343	0.099	2.152	2.545	575	22326886
"Male and female"	"1yr_2022"	"Esophagus"	"Hispanic (All Races)"	2.730	0.079	2.577	2.889	1294	64051406
"Male and female"	"1yr_2022"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	122	0
"Male and female"	"1yr_2022"	"Stomach"	"AllRaceEth"	6.715	0.041	6.634	6.796	27980	333271411
"Male and female"	"1yr_2022"	"Stomach"	"Non-Hispanic White"	5.373	0.044	5.287	5.460	16203	199755669
"Male and female"	"1yr_2022"	"Stomach"	"Non-Hispanic Black"	10.228	0.157	9.922	10.541	4520	44379530
"Male and female"	"1yr_2022"	"Stomach"	"Non-Hispanic American Indian/Alaska Native"	8.454	0.562	7.388	9.630	240	2757920
"Male and female"	"1yr_2022"	"Stomach"	"Non-Hispanic Asian or Pacific Islander"	8.782	0.195	8.405	9.173	2087	22326886
"Male and female"	"1yr_2022"	"Stomach"	"Hispanic (All Races)"	9.554	0.145	9.271	9.842	4684	64051406
"Male and female"	"1yr_2022"	"Stomach"	"Non-Hispanic Unknown Race"	 	 	 	 	246	0
"Male and female"	"1yr_2022"	"Colon and Rectum"	"AllRaceEth"	36.701	0.098	36.509	36.894	147931	333271411
"Male and female"	"1yr_2022"	"Colon and Rectum"	"Non-Hispanic White"	36.963	0.121	36.726	37.201	103664	199755669
"Male and female"	"1yr_2022"	"Colon and Rectum"	"Non-Hispanic Black"	39.845	0.309	39.241	40.455	17672	44379530
"Male and female"	"1yr_2022"	"Colon and Rectum"	"Non-Hispanic American Indian/Alaska Native"	42.212	1.254	39.789	44.744	1202	2757920
"Male and female"	"1yr_2022"	"Colon and Rectum"	"Non-Hispanic Asian or Pacific Islander"	29.225	0.353	28.537	29.926	6991	22326886
"Male and female"	"1yr_2022"	"Colon and Rectum"	"Hispanic (All Races)"	33.597	0.270	33.071	34.130	16800	64051406
"Male and female"	"1yr_2022"	"Colon and Rectum"	"Non-Hispanic Unknown Race"	 	 	 	 	1602	0
"Male and female"	"1yr_2022"	"Liver and Intrahepatic Bile Duct"	"AllRaceEth"	8.273	0.044	8.186	8.360	36666	333271411
"Male and female"	"1yr_2022"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic White"	7.201	0.049	7.105	7.298	23057	199755669
"Male and female"	"1yr_2022"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Black"	9.040	0.141	8.765	9.322	4362	44379530
"Male and female"	"1yr_2022"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic American Indian/Alaska Native"	12.062	0.634	10.852	13.375	384	2757920
"Male and female"	"1yr_2022"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Asian or Pacific Islander"	10.322	0.210	9.914	10.743	2476	22326886
"Male and female"	"1yr_2022"	"Liver and Intrahepatic Bile Duct"	"Hispanic (All Races)"	12.763	0.169	12.434	13.098	6183	64051406
"Male and female"	"1yr_2022"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Unknown Race"	 	 	 	 	204	0
"Male and female"	"1yr_2022"	"Pancreas"	"AllRaceEth"	13.585	0.057	13.473	13.698	58471	333271411
