"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2018"	"All Sites"	"AllRaceEth"	446.036	0.345	445.359	446.713	1749398	323807474
"Male and female"	"1yr_2018"	"All Sites"	"Non-Hispanic White"	463.105	0.422	462.279	463.932	1314672	199524240
"Male and female"	"1yr_2018"	"All Sites"	"Non-Hispanic Black"	448.340	1.063	446.259	450.428	189394	42652576
"Male and female"	"1yr_2018"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	393.652	3.991	385.869	401.552	10471	2708850
"Male and female"	"1yr_2018"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	293.945	1.220	291.559	296.346	59929	20334657
"Male and female"	"1yr_2018"	"All Sites"	"Hispanic (All Races)"	351.144	0.946	349.292	353.003	150088	58587151
"Male and female"	"1yr_2018"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	24844	0
"Male and female"	"1yr_2018"	"Oral Cavity and Pharynx"	"AllRaceEth"	11.941	0.056	11.831	12.051	47677	323807474
"Male and female"	"1yr_2018"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	13.320	0.071	13.181	13.460	38308	199524240
"Male and female"	"1yr_2018"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	8.418	0.143	8.140	8.704	3665	42652576
"Male and female"	"1yr_2018"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	10.053	0.624	8.868	11.353	280	2708850
"Male and female"	"1yr_2018"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.225	0.202	7.834	8.630	1711	20334657
"Male and female"	"1yr_2018"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.324	0.136	7.061	7.594	3162	58587151
"Male and female"	"1yr_2018"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	551	0
"Male and female"	"1yr_2018"	"Esophagus"	"AllRaceEth"	4.583	0.034	4.516	4.650	18669	323807474
"Male and female"	"1yr_2018"	"Esophagus"	"Non-Hispanic White"	5.137	0.043	5.054	5.221	15427	199524240
"Male and female"	"1yr_2018"	"Esophagus"	"Non-Hispanic Black"	3.469	0.093	3.289	3.656	1491	42652576
"Male and female"	"1yr_2018"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.481	0.421	3.695	5.385	124	2708850
"Male and female"	"1yr_2018"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.038	0.102	1.842	2.248	411	20334657
"Male and female"	"1yr_2018"	"Esophagus"	"Hispanic (All Races)"	2.698	0.084	2.535	2.868	1102	58587151
"Male and female"	"1yr_2018"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	114	0
"Male and female"	"1yr_2018"	"Stomach"	"AllRaceEth"	6.291	0.041	6.211	6.372	24544	323807474
"Male and female"	"1yr_2018"	"Stomach"	"Non-Hispanic White"	5.116	0.044	5.031	5.202	14779	199524240
