"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2020"	"All Sites"	"AllRaceEth"	403.252	0.327	402.611	403.894	1600001	318825602
"Male and female"	"1yr_2020"	"All Sites"	"Non-Hispanic White"	421.784	0.406	420.988	422.580	1190616	192928921
"Male and female"	"1yr_2020"	"All Sites"	"Non-Hispanic Black"	400.166	0.986	398.236	402.102	174757	42553635
"Male and female"	"1yr_2020"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	350.926	3.689	343.733	358.231	9668	2674736
"Male and female"	"1yr_2020"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	260.310	1.106	258.147	262.486	56790	20821906
"Male and female"	"1yr_2020"	"All Sites"	"Hispanic (All Races)"	305.171	0.844	303.518	306.830	140609	59846404
"Male and female"	"1yr_2020"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	27561	0
"Male and female"	"1yr_2020"	"Oral Cavity and Pharynx"	"AllRaceEth"	11.309	0.054	11.203	11.416	45571	318825602
"Male and female"	"1yr_2020"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	12.693	0.070	12.556	12.831	36176	192928921
"Male and female"	"1yr_2020"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	7.812	0.136	7.547	8.083	3488	42553635
"Male and female"	"1yr_2020"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	10.166	0.618	8.991	11.454	289	2674736
"Male and female"	"1yr_2020"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	7.688	0.188	7.324	8.067	1706	20821906
"Male and female"	"1yr_2020"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	6.668	0.124	6.428	6.915	3108	59846404
"Male and female"	"1yr_2020"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	804	0
"Male and female"	"1yr_2020"	"Esophagus"	"AllRaceEth"	4.253	0.033	4.189	4.317	17619	318825602
"Male and female"	"1yr_2020"	"Esophagus"	"Non-Hispanic White"	4.822	0.041	4.741	4.904	14475	192928921
"Male and female"	"1yr_2020"	"Esophagus"	"Non-Hispanic Black"	3.123	0.087	2.955	3.297	1381	42553635
