"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2017"	"All Sites"	"AllRaceEth"	451.208	0.349	450.524	451.892	1752516	325122128
"Male and female"	"1yr_2017"	"All Sites"	"Non-Hispanic White"	469.216	0.425	468.384	470.049	1325030	201212513
"Male and female"	"1yr_2017"	"All Sites"	"Non-Hispanic Black"	454.570	1.082	452.452	456.696	188472	42583044
"Male and female"	"1yr_2017"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	401.900	4.085	393.932	409.985	10496	2723957
"Male and female"	"1yr_2017"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	297.297	1.242	294.868	299.741	59368	20206192
"Male and female"	"1yr_2017"	"All Sites"	"Hispanic (All Races)"	352.011	0.965	350.122	353.906	146030	58396422
"Male and female"	"1yr_2017"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	23120	0
"Male and female"	"1yr_2017"	"Oral Cavity and Pharynx"	"AllRaceEth"	11.986	0.056	11.876	12.097	47400	325122128
"Male and female"	"1yr_2017"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	13.361	0.071	13.221	13.501	38187	201212513
"Male and female"	"1yr_2017"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	8.764	0.148	8.476	9.059	3733	42583044
"Male and female"	"1yr_2017"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	11.132	0.663	9.870	12.511	304	2723957
"Male and female"	"1yr_2017"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.021	0.201	7.632	8.424	1649	20206192
"Male and female"	"1yr_2017"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.146	0.136	6.882	7.418	2997	58396422
"Male and female"	"1yr_2017"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	530	0
"Male and female"	"1yr_2017"	"Esophagus"	"AllRaceEth"	4.494	0.034	4.427	4.561	18090	325122128
"Male and female"	"1yr_2017"	"Esophagus"	"Non-Hispanic White"	4.987	0.042	4.905	5.071	14879	201212513
"Male and female"	"1yr_2017"	"Esophagus"	"Non-Hispanic Black"	3.649	0.096	3.463	3.843	1539	42583044
"Male and female"	"1yr_2017"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.209	0.411	3.443	5.095	114	2723957
"Male and female"	"1yr_2017"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.140	0.106	1.937	2.359	421	20206192
"Male and female"	"1yr_2017"	"Esophagus"	"Hispanic (All Races)"	2.719	0.088	2.550	2.895	1048	58396422
