"Sex"	"LatestYears_1_5_10"	"USCS Sites"	"Race and origin recode with AllRaceEth"	"Age-Adjusted Rate"	"Standard Error"	"Lower Confidence Interval"	"Upper Confidence Interval"	"Count"	"Population"
"Male and female"	"1yr_2019"	"All Sites"	"AllRaceEth"	438.593	0.340	437.928	439.259	1752735	325239182
"Male and female"	"1yr_2019"	"All Sites"	"Non-Hispanic White"	454.770	0.416	453.955	455.587	1308159	199309951
"Male and female"	"1yr_2019"	"All Sites"	"Non-Hispanic Black"	439.321	1.038	437.288	441.360	190129	43000328
"Male and female"	"1yr_2019"	"All Sites"	"Non-Hispanic American Indian/Alaska Native"	370.470	3.807	363.046	378.007	10153	2722907
"Male and female"	"1yr_2019"	"All Sites"	"Non-Hispanic Asian or Pacific Islander"	290.289	1.187	287.968	292.624	61534	20709198
"Male and female"	"1yr_2019"	"All Sites"	"Hispanic (All Races)"	344.826	0.917	343.032	346.627	153267	59496798
"Male and female"	"1yr_2019"	"All Sites"	"Non-Hispanic Unknown Race"	 	 	 	 	29493	0
"Male and female"	"1yr_2019"	"Oral Cavity and Pharynx"	"AllRaceEth"	11.788	0.055	11.680	11.897	47813	325239182
"Male and female"	"1yr_2019"	"Oral Cavity and Pharynx"	"Non-Hispanic White"	13.195	0.071	13.057	13.334	38234	199309951
"Male and female"	"1yr_2019"	"Oral Cavity and Pharynx"	"Non-Hispanic Black"	8.251	0.140	7.978	8.530	3663	43000328
"Male and female"	"1yr_2019"	"Oral Cavity and Pharynx"	"Non-Hispanic American Indian/Alaska Native"	9.398	0.589	8.280	10.628	273	2722907
"Male and female"	"1yr_2019"	"Oral Cavity and Pharynx"	"Non-Hispanic Asian or Pacific Islander"	8.038	0.196	7.660	8.432	1730	20709198
"Male and female"	"1yr_2019"	"Oral Cavity and Pharynx"	"Hispanic (All Races)"	7.197	0.132	6.941	7.459	3220	59496798
"Male and female"	"1yr_2019"	"Oral Cavity and Pharynx"	"Non-Hispanic Unknown Race"	 	 	 	 	693	0
"Male and female"	"1yr_2019"	"Esophagus"	"AllRaceEth"	4.545	0.034	4.480	4.612	18950	325239182
"Male and female"	"1yr_2019"	"Esophagus"	"Non-Hispanic White"	5.086	0.042	5.003	5.169	15532	199309951
"Male and female"	"1yr_2019"	"Esophagus"	"Non-Hispanic Black"	3.523	0.092	3.345	3.708	1561	43000328
"Male and female"	"1yr_2019"	"Esophagus"	"Non-Hispanic American Indian/Alaska Native"	4.606	0.424	3.812	5.517	127	2722907
"Male and female"	"1yr_2019"	"Esophagus"	"Non-Hispanic Asian or Pacific Islander"	2.029	0.099	1.840	2.232	434	20709198
"Male and female"	"1yr_2019"	"Esophagus"	"Hispanic (All Races)"	2.825	0.086	2.659	2.997	1168	59496798
"Male and female"	"1yr_2019"	"Esophagus"	"Non-Hispanic Unknown Race"	 	 	 	 	128	0
"Male and female"	"1yr_2019"	"Stomach"	"AllRaceEth"	6.115	0.040	6.037	6.194	24382	325239182
"Male and female"	"1yr_2019"	"Stomach"	"Non-Hispanic White"	4.894	0.042	4.811	4.978	14426	199309951
"Male and female"	"1yr_2019"	"Stomach"	"Non-Hispanic Black"	9.138	0.153	8.840	9.443	3787	43000328
"Male and female"	"1yr_2019"	"Stomach"	"Non-Hispanic American Indian/Alaska Native"	6.722	0.518	5.745	7.817	180	2722907
"Male and female"	"1yr_2019"	"Stomach"	"Non-Hispanic Asian or Pacific Islander"	8.847	0.209	8.441	9.267	1842	20709198
"Male and female"	"1yr_2019"	"Stomach"	"Hispanic (All Races)"	9.102	0.152	8.808	9.404	3892	59496798
"Male and female"	"1yr_2019"	"Stomach"	"Non-Hispanic Unknown Race"	 	 	 	 	255	0
"Male and female"	"1yr_2019"	"Colon and Rectum"	"AllRaceEth"	36.308	0.099	36.115	36.502	142462	325239182
"Male and female"	"1yr_2019"	"Colon and Rectum"	"Non-Hispanic White"	36.463	0.119	36.229	36.697	102446	199309951
"Male and female"	"1yr_2019"	"Colon and Rectum"	"Non-Hispanic Black"	40.775	0.320	40.151	41.406	17236	43000328
"Male and female"	"1yr_2019"	"Colon and Rectum"	"Non-Hispanic American Indian/Alaska Native"	36.903	1.210	34.569	39.351	998	2722907
"Male and female"	"1yr_2019"	"Colon and Rectum"	"Non-Hispanic Asian or Pacific Islander"	28.291	0.371	27.568	29.028	5971	20709198
"Male and female"	"1yr_2019"	"Colon and Rectum"	"Hispanic (All Races)"	31.979	0.280	31.433	32.532	14083	59496798
"Male and female"	"1yr_2019"	"Colon and Rectum"	"Non-Hispanic Unknown Race"	 	 	 	 	1728	0
"Male and female"	"1yr_2019"	"Liver and Intrahepatic Bile Duct"	"AllRaceEth"	8.391	0.045	8.302	8.480	35563	325239182
"Male and female"	"1yr_2019"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic White"	7.151	0.049	7.054	7.249	22229	199309951
"Male and female"	"1yr_2019"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Black"	9.796	0.149	9.506	10.093	4576	43000328
"Male and female"	"1yr_2019"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic American Indian/Alaska Native"	13.449	0.706	12.100	14.909	390	2722907
"Male and female"	"1yr_2019"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Asian or Pacific Islander"	11.540	0.237	11.080	12.015	2449	20709198
"Male and female"	"1yr_2019"	"Liver and Intrahepatic Bile Duct"	"Hispanic (All Races)"	13.233	0.182	12.879	13.595	5691	59496798
"Male and female"	"1yr_2019"	"Liver and Intrahepatic Bile Duct"	"Non-Hispanic Unknown Race"	 	 	 	 	228	0
"Male and female"	"1yr_2019"	"Pancreas"	"AllRaceEth"	13.176	0.058	13.064	13.290	54076	325239182
"Male and female"	"1yr_2019"	"Pancreas"	"Non-Hispanic White"	13.179	0.068	13.047	13.313	40113	199309951
"Male and female"	"1yr_2019"	"Pancreas"	"Non-Hispanic Black"	15.705	0.199	15.317	16.101	6621	43000328
"Male and female"	"1yr_2019"	"Pancreas"	"Non-Hispanic American Indian/Alaska Native"	11.359	0.661	10.100	12.731	318	2722907
